brand,model,year,mileage,fuel_type,engine_cc,power_hp,price(inr)
Maruti,Suzuki Swift,2018,42000,Petrol,1200,83,480000
Hyundai,Grand i10,2019,35000,Petrol,1200,83,520000
Tata,Tigor,2020,28000,Petrol,1200,84,550000
Honda,Amaze,2017,60000,Diesel,1500,99,620000
Hyundai,Creta,2018,50000,Diesel,1600,128,1100000
Maruti,Baleno,2020,21000,Petrol,1200,90,650000
Ford,Ecosport,2019,37000,Petrol,1500,122,850000
Kia,Seltos,2021,18000,Petrol,1500,115,1300000
Mahindra,Scorpio,2018,75000,Diesel,2200,140,1000000
Toyota,Innova,2016,85000,Diesel,2400,150,1350000
MG,Hector,2020,30000,Petrol,1500,141,1450000
Renault,Kwid,2019,25000,Petrol,1000,68,350000
Maruti,Alto 800,2020,15000,Petrol,800,48,280000
Honda,City,2018,47000,Petrol,1500,118,950000
Tata,Nexon,2021,22000,Petrol,1200,120,1100000
Hyundai,Venue,2020,19000,Petrol,1200,120,1150000
Ford,Figo,2017,53000,Diesel,1500,100,450000
Renault,Duster,2016,90000,Diesel,1500,109,780000
Volkswagen,Polo,2019,30000,Petrol,1000,110,750000
Hyundai,Verna,2019,41000,Diesel,1500,128,1000000
Maruti,Brezza,2020,33000,Petrol,1500,103,1050000
Toyota,Etios,2017,55000,Petrol,1500,90,450000
Kia,Sonet,2021,16000,Petrol,1200,120,1150000
Mahindra,XUV300,2020,21000,Petrol,1200,110,1150000
Skoda,Rapid,2019,37000,Petrol,1000,110,900000
Volkswagen,Vento,2018,40000,Petrol,1500,110,950000
Honda,WR-V,2019,38000,Diesel,1500,100,920000
Tata,Harrier,2020,28000,Diesel,2000,170,1600000
Mahindra,Thar,2021,12000,Petrol,2000,150,1700000
Hyundai,i20,2021,14000,Petrol,1200,88,900000
Ford,Aspire,2018,45000,Diesel,1500,100,550000
Maruti,Ciaz,2020,19000,Petrol,1500,105,900000
Renault,Triber,2021,17000,Petrol,1000,70,650000
Tata,Tiago,2019,26000,Petrol,1200,85,420000
Toyota,Yaris,2019,22000,Petrol,1500,107,950000
Hyundai,Elantra,2017,50000,Petrol,2000,152,1400000
MG,Astor,2022,11000,Petrol,1500,138,1500000
Kia,Carens,2022,9000,Petrol,1500,138,1700000
Honda,Brio,2016,70000,Petrol,1200,88,300000
Mahindra,Bolero,2019,55000,Diesel,2500,75,850000
Toyota,Glanza,2021,10000,Petrol,1200,87,820000
Ford,Endeavour,2018,60000,Diesel,3200,200,3200000
Hyundai,Santro,2019,29000,Petrol,1000,69,420000
Tata,Altroz,2021,18000,Petrol,1200,85,750000
Volkswagen,Tiguan,2018,45000,Diesel,2000,140,2800000
Maruti,Ertiga,2019,24000,Petrol,1500,105,990000
Renault,Lodgy,2017,60000,Diesel,1500,110,650000
Honda,CR-V,2016,85000,Petrol,2000,154,1350000
Skoda,Kushaq,2021,17000,Petrol,1500,150,1550000
